2025-06-08 10:31:33,006 [INFO] DatabaseManager - Logger DatabaseManager initialized at level INFO. Log file: job_data/logs/DatabaseManager_20250608_103133.log
2025-06-08 10:31:34,529 [INFO] DatabaseManager - Connected to database: PostgreSQL 15.13 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
2025-06-08 10:31:34,543 [INFO] DatabaseManager - Database connection established and tables verified
2025-06-08 10:31:35,136 [INFO] DatabaseManager - Connected to database: PostgreSQL 15.13 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
2025-06-08 10:31:35,145 [INFO] DatabaseManager - Database connection established and tables verified
2025-06-08 10:31:35,701 [INFO] DatabaseManager - Connected to database: PostgreSQL 15.13 on x86_64-pc-linux-musl, compiled by gcc (Alpine 14.2.0) 14.2.0, 64-bit
2025-06-08 10:31:35,718 [INFO] DatabaseManager - Database connection established and tables verified
2025-06-08 10:31:59,154 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 20, column 'company_id' - found int value: 7153
2025-06-08 10:31:59,155 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 22, column 'company_id' - found int value: 130286
2025-06-08 10:31:59,155 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 42, column 'company_id' - found int value: 21972
2025-06-08 10:31:59,155 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 54, column 'company_id' - found int value: 14936
2025-06-08 10:31:59,155 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 55, column 'company_id' - found int value: 133158
2025-06-08 10:31:59,155 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 57, column 'company_id' - found int value: 86990
2025-06-08 10:31:59,155 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 68, column 'company_id' - found int value: 59833
2025-06-08 10:31:59,155 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 69, column 'company_id' - found int value: 11480
2025-06-08 10:31:59,155 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 70, column 'company_id' - found int value: 57636
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 71, column 'company_id' - found int value: 61390
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 72, column 'company_id' - found int value: 3275
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 75, column 'company_id' - found int value: 57454
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 81, column 'company_id' - found int value: 34732
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 82, column 'company_id' - found int value: 124721
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 83, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 93, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 98, column 'company_id' - found int value: 21300
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 99, column 'company_id' - found int value: 91138
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 100, column 'company_id' - found int value: 50593
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 101, column 'company_id' - found int value: 15756
2025-06-08 10:31:59,156 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 102, column 'company_id' - found int value: 461
